,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-07 17:48:00,1.08847,1.08855,1.08788,50.09107603488323,,1.08793,SELL,1.08875,2022-03-07 17:50:00,SLPR,-24.600000000001288
2022-03-07 18:27:00,1.08992,1.08996,1.08949,68.45102662864223,,1.0895,SELL,1.08852,2022-03-07 18:50:00,TG,29.399999999999427
2022-03-07 18:29:00,1.08987,1.08993,1.08958,67.47820970359342,,1.08968,SELL,1.08852,2022-03-07 18:50:00,TG,34.800000000001496
2022-03-07 18:59:00,1.08757,1.08804,1.08738,36.60726225946622,,1.08793,BUY,1.08856,2022-03-07 19:13:00,TG,18.899999999997252
2022-03-07 19:39:00,1.08527,1.0857,1.08527,36.002429665062266,,1.0857,BUY,1.08499,2022-03-07 19:58:00,SLPR,-21.300000000006314
2022-03-07 20:01:00,1.08476,1.08503,1.0847,34.09519349068498,,1.08494,BUY,1.08661,2022-03-07 20:25:00,TG,50.10000000000181
2022-03-07 20:30:00,1.08694,1.08694,1.08664,57.79253826412256,,1.08665,SELL,1.08604,2022-03-07 21:32:00,TGP,18.299999999999983
2022-03-07 21:31:00,1.08598,1.08616,1.08598,34.961597555149865,,1.08602,BUY,0.0,0,0,0.0
2022-03-07 22:16:00,1.08514,1.08514,1.08514,50.12315211062854,,1.08514,BUY,1.08559,2022-03-07 23:09:00,TGP,13.500000000001844
2022-03-07 22:51:00,1.08527,1.08528,1.08519,55.265550930401105,,1.0852,SELL,0.0,0,0,0.0
2022-03-07 23:09:00,1.08564,1.08564,1.08558,67.89273096908599,,1.08559,SELL,1.08518,2022-03-07 23:22:00,TGP,12.300000000000644
2022-03-07 23:22:00,1.08516,1.08527,1.08516,30.352375209892728,,1.08518,BUY,1.08635,2022-03-08 00:00:00,TG,35.0999999999968
2022-03-08 00:00:00,1.08656,1.0866,1.08634,58.223217830132924,,1.08635,SELL,1.08683,2022-03-08 00:19:00,SLPR,-14.400000000001079
2022-03-08 00:20:00,1.08684,1.08685,1.08676,67.00308937216099,,1.08677,SELL,1.08545,2022-03-08 00:50:00,TG,39.59999999999964
2022-03-08 00:43:00,1.08544,1.08565,1.08543,31.38413338456573,,1.08564,BUY,1.08531,2022-03-08 01:06:00,SLPR,-9.899999999998244
2022-03-08 00:48:00,1.08514,1.08536,1.08512,34.678001802815544,,1.08536,BUY,1.0851,2022-03-08 00:55:00,SLPR,-7.80000000000447
2022-03-08 01:45:00,1.08718,1.08718,1.08704,68.26912695654715,,1.08712,SELL,0.0,0,0,0.0
2022-03-08 01:51:00,1.08781,1.08781,1.08754,62.36215215711375,,1.08754,SELL,1.088,2022-03-08 02:05:00,SLPR,-13.80000000000381
2022-03-08 02:07:00,1.08815,1.08821,1.08796,68.04609020206023,,1.08803,SELL,1.08748,2022-03-08 03:04:00,TG,16.500000000001513
2022-03-08 03:49:00,1.08679,1.08686,1.08678,31.672125278542538,,1.08684,BUY,1.0871,2022-03-08 04:30:00,TGP,7.799999999997809
2022-03-08 04:30:00,1.08716,1.08716,1.08697,66.65197729889641,,1.0871,SELL,0.0,0,0,0.0
2022-03-08 05:12:00,1.08582,1.086,1.08582,33.95956691677755,,1.08597,BUY,1.08558,2022-03-08 05:46:00,SLPR,-11.700000000003374
2022-03-08 05:54:00,1.08648,1.08652,1.08607,54.84629186891751,,1.08612,SELL,1.08575,2022-03-08 06:19:00,TGP,11.099999999999444
2022-03-08 06:19:00,1.08561,1.08584,1.08556,37.20444999313871,,1.08575,BUY,1.08563,2022-03-08 06:29:00,SLPR,-3.599999999996939
2022-03-08 07:33:00,1.08776,1.08776,1.08699,61.03129957342938,,1.08701,SELL,1.0876,2022-03-08 07:38:00,SL,-17.699999999996052
2022-03-08 07:57:00,1.08602,1.08652,1.08602,44.346092051233946,,1.08645,BUY,1.09137,2022-03-08 08:30:00,TG,147.60000000000107
2022-03-08 08:17:00,1.0907,1.09082,1.0902,67.65262994407584,,1.0902,SELL,1.0884,2022-03-08 09:13:00,TG,54.00000000000071
2022-03-08 08:53:00,1.08906,1.0893,1.08895,30.203360800292984,,1.08913,BUY,1.08993,2022-03-08 09:03:00,TG,24.000000000004018
2022-03-08 09:09:00,1.08811,1.08854,1.08811,32.07251341166621,,1.08829,BUY,1.08751,2022-03-08 09:19:00,SLPR,-23.400000000000087
2022-03-08 09:13:00,1.08794,1.08844,1.08789,40.43638333334194,,1.0884,BUY,1.08751,2022-03-08 09:19:00,SLPR,-26.700000000001722
2022-03-08 09:23:00,1.087,1.08712,1.08692,30.771007081001116,,1.08705,BUY,1.08893,2022-03-08 09:41:00,TG,56.39999999999645
2022-03-08 09:40:00,1.08953,1.08956,1.08885,60.578566944605065,,1.08888,SELL,1.08869,2022-03-08 09:50:00,TG,5.700000000004035
2022-03-08 11:00:00,1.08977,1.08985,1.08953,64.30063691708182,,1.08954,SELL,1.0901,2022-03-08 11:19:00,SL,-16.80000000000348
2022-03-08 11:20:00,1.09011,1.0903,1.08995,68.03239366595714,,1.09005,SELL,1.08842,2022-03-08 11:45:00,TG,48.90000000000061
2022-03-08 11:32:00,1.08866,1.08916,1.0886,40.07958809416422,,1.08896,BUY,1.09071,2022-03-08 12:20:00,TG,52.500000000004206
2022-03-08 11:45:00,1.08827,1.08845,1.08824,37.32647352773365,,1.08842,BUY,1.0912,2022-03-08 12:14:00,TG,83.40000000000015
2022-03-08 12:14:00,1.09164,1.09164,1.09108,64.95918489069385,,1.0912,SELL,1.0909,2022-03-08 12:30:00,TG,8.999999999999009
2022-03-08 12:19:00,1.09174,1.09179,1.09092,54.370637042969285,,1.09109,SELL,1.09081,2022-03-08 12:31:00,TG,8.399999999995078
2022-03-08 12:52:00,1.08961,1.08981,1.0896,33.717532312570256,,1.08974,BUY,1.0899,2022-03-08 13:02:00,TG,4.8000000000048
2022-03-08 13:13:00,1.08861,1.08948,1.08861,39.54843957058834,,1.08911,BUY,1.08933,2022-03-08 13:32:00,TG,6.599999999996609
2022-03-08 14:00:00,1.09147,1.09156,1.09093,59.66608575670549,,1.09098,SELL,1.0915,2022-03-08 14:20:00,SL,-15.599999999995617
2022-03-08 14:12:00,1.09205,1.09205,1.09159,60.326310029484084,,1.09167,SELL,1.0915,2022-03-08 14:21:00,TG,5.1000000000001044
2022-03-08 14:34:00,1.09023,1.09054,1.09019,33.4162818014086,,1.09042,BUY,1.0906,2022-03-08 14:50:00,TG,5.40000000000207
