,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
248,2022-01-26 08:56:00,1.12844,1.12874,1.12844,43.46916879023409,,1.12873,BUY,1.12838,2022-01-26 10:09:00,SLPR,-10.500000000002174
249,2022-01-26 10:40:00,1.12782,1.12791,1.12781,31.383708785657916,,1.12786,BUY,1.12761,2022-01-26 10:48:00,SLPR,-7.500000000002505
252,2022-01-26 13:00:00,1.12757,1.12775,1.12756,33.19490924993498,,1.12765,BUY,1.12711,2022-01-26 13:30:00,SLPR,-16.199999999999548
254,2022-01-26 13:57:00,1.12824,1.12824,1.12808,64.6575107031523,,1.12814,SELL,1.12848,2022-01-26 14:07:00,SLPR,-10.200000000000209
255,2022-01-26 14:15:00,1.12893,1.12893,1.12865,60.33290650130212,,1.12867,SELL,1.12934,2022-01-26 14:26:00,SLPR,-20.099999999998452
256,2022-01-26 14:31:00,1.12939,1.12942,1.12915,60.17746595182761,,1.12921,SELL,1.12943,2022-01-26 14:41:00,SLPR,-6.599999999996609
257,2022-01-26 14:49:00,1.12856,1.12874,1.1285,38.769348690560754,,1.12874,BUY,1.12831,2022-01-26 14:59:00,SLPR,-12.900000000004574
258,2022-01-26 15:00:00,1.12831,1.12864,1.12821,37.24599250751847,,1.12846,BUY,1.12826,2022-01-26 15:03:00,SLPR,-5.999999999999339
259,2022-01-26 15:22:00,1.1278,1.12792,1.12778,31.694751987210893,,1.12785,BUY,1.12767,2022-01-26 15:38:00,SLPR,-5.40000000000207
261,2022-01-26 17:30:00,1.1287,1.1287,1.12854,58.447073558079936,,1.12855,SELL,1.1289,2022-01-26 18:00:00,SLPR,-10.500000000002174
262,2022-01-26 18:03:00,1.12906,1.12907,1.12895,69.78619169903459,,1.12896,SELL,1.12926,2022-01-26 18:18:00,SLPR,-8.999999999999009
263,2022-01-26 18:52:00,1.12881,1.12896,1.12881,30.446565917554295,,1.12888,BUY,1.12857,2022-01-26 18:55:00,SLPR,-9.300000000000974
264,2022-01-26 18:57:00,1.12864,1.12874,1.12855,34.262089785103015,,1.12872,BUY,1.12837,2022-01-26 18:59:00,SLPR,-10.499999999995513
265,2022-01-26 19:00:00,1.12838,1.13005,1.12835,65.60962613640582,,1.12944,BUY,1.12806,2022-01-26 19:03:00,SLPR,-41.3999999999981
266,2022-01-26 19:32:00,1.12763,1.12804,1.12753,32.90187518641895,,1.12784,BUY,1.12718,2022-01-26 19:35:00,SLPR,-19.799999999996487
275,2022-01-27 02:45:00,1.12271,1.12277,1.1227,36.09876942235106,,1.12277,BUY,1.12254,2022-01-27 03:05:00,SLPR,-6.899999999998574
276,2022-01-27 03:28:00,1.12229,1.12239,1.12222,40.44576532435536,,1.12239,BUY,1.12207,2022-01-27 03:59:00,SLPR,-9.60000000000294
278,2022-01-27 04:49:00,1.12181,1.12218,1.12181,43.03955549516144,,1.12217,BUY,1.12161,2022-01-27 05:14:00,SLPR,-16.799999999996817
281,2022-01-27 07:25:00,1.12101,1.1212,1.12094,38.7945911358941,,1.12118,BUY,1.12092,2022-01-27 07:28:00,SLPR,-7.80000000000447
283,2022-01-27 10:22:00,1.11915,1.11925,1.11912,31.978597561823094,,1.11919,BUY,1.11908,2022-01-27 10:53:00,SLPR,-3.2999999999949736
284,2022-01-27 11:05:00,1.11849,1.1186,1.11844,34.13014132583666,,1.11858,BUY,1.11731,2022-01-27 11:38:00,SLPR,-38.09999999999647
286,2022-01-27 12:36:00,1.11564,1.11589,1.11564,40.38813037895062,,1.11584,BUY,1.11568,2022-01-27 12:59:00,SLPR,-4.799999999998139
288,2022-01-27 15:25:00,1.11445,1.11461,1.11439,32.48377974787296,,1.11455,BUY,1.11427,2022-01-27 15:30:00,SLPR,-8.399999999995078
293,2022-01-27 18:56:00,1.11451,1.11451,1.1144,68.65594930799499,,1.11444,SELL,1.1146,2022-01-27 20:06:00,SLPR,-4.799999999998139
294,2022-01-27 20:08:00,1.11468,1.11472,1.11465,68.94826201114357,,1.11466,SELL,1.11481,2022-01-27 20:10:00,SLPR,-4.500000000002835
298,2022-01-27 22:09:00,1.11414,1.11414,1.11414,41.324827935805686,,1.11414,BUY,1.11394,2022-01-27 22:14:00,SLPR,-5.999999999999339
299,2022-01-27 22:56:00,1.11424,1.11424,1.11417,51.66925194813713,,1.11418,SELL,1.11443,2022-01-27 23:00:00,SLPR,-7.500000000002505
